title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,166 ratings",
"ROTOMOON PS4 Glitter Silicone Controller Skins with 8 Thumb Grips & L2 R2 Trigger Protector, Sweat-Proof Anti-Slip Controller Cover Skin Protector Compatible with Playstation 4 Slim/Pro Controller…",,5.0 out of 5 stars,7 ratings,Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,860 ratings",Only 3 left in stock - order soon
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,568 ratings",
Sony Playstation PS4 1TB Black Console,$653.79,4.7 out of 5 stars,853 ratings,Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,294 ratings,Usually ships within 5 to 6 days
PlayStation 4 Slim 1TB Gold Console [Discontinued],,4.6 out of 5 stars,707 ratings,Only 1 left in stock - order soon
Madden NFL 23 – PlayStation 4,$39.88,4.6 out of 5 stars,679 ratings,In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75,4.7 out of 5 stars,"140,792 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$61.50,4.7 out of 5 stars,"140,792 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"140,792 ratings",Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$25.99,3.7 out of 5 stars,7 ratings,Not Available
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,558 ratings",Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,237 ratings,Not Available
"【Upgraded】YUYIU Wireless Controller for Ps4 Remote Plays-tation 4/Slim/Pro/PC, Gaming Controllers with Dual Vibration Shock Speaker, Camo Red with Headphone Jack Touch Pad Six Axis Motion Control",,4.4 out of 5 stars,466 ratings,Not Available
"PS4 Controller Charger Dock Station, PS4 Controller Charger Station for Playstation 4 Controller, PS4 Remote Charging Station with Fast-Charging Port, Replacement for Playstation 4 Controller Charger",,4.7 out of 5 stars,"1,392 ratings",Not Available
Wireless Game Controller Compatible with PS4 Console (gold),$49.99,Previous page of related Sponsored Products,,Not Available
"Wiv77 2 Pack Controller Wireless Intended for PS4 Controller/Playstation 4 Controller Console/PC, Bluetooth&Wired Connection/Smooth Touchpad/Two Motors/Headphone Jack(Titanium Blue and Craystal Blue)",$36.99,3.7 out of 5 stars,11 ratings,Not Available
One Piece Odyssey - PlayStation 4,$59.99,Previous page of related Sponsored Products,,"This item will be released on January 13, 2023."
"PS4 Controller,Wireless Controller Compatible with PS4/Slim/Pro/PC Console Dualed Vibrations Game Joystick Touch Pad/ Built-in Speaker with Type-C Cable",,4.0 out of 5 stars,166 ratings,Not Available
"PS4 Controller for PC Gamer/Pro/Slim, Remote Analog Sticks PC Wireless Controller Dual Vibration Shock 4, Dualsensed Design Gamepad PS4 Bluetooth Controller, Black",,4.0 out of 5 stars,5 ratings,Not Available
"ROTOMOON PS4 Glitter Silicone Controller Skins with 8 Thumb Grips & L2 R2 Trigger Protector, Sweat-Proof Anti-Slip Controller Cover Skin Protector Compatible with Playstation 4 Slim/Pro Controller…",,5.0 out of 5 stars,7 ratings,Not Available
Pac-Man Championship Edition 2 + Arcade Game Series - PlayStation 4,,4.5 out of 5 stars,"3,762 ratings",
"eXtremeRate Blood Purgatory Patterned Custom Faceplate Cover, Replacement Front Housing Shell Case Compatible with ps4 Slim Pro Controller JDM-040/050/055 - Controller NOT Included",,4.2 out of 5 stars,"4,358 ratings",Not Available
Snakebyte Trigger Treadz - Original 4-Pack for (PS4) - Anti Slip Trigger Rubbers - PlayStation 4,$4.99,4.2 out of 5 stars,"3,238 ratings",Only 7 left in stock - order soon.
